Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,228.9196683078309,134.42619367588765,4.932986713885517,-0.34310963631991875,0.009099999999999997,0.0124,0.005800000000000027,757.3333333333333,0.00022680765249594992,0.00022680765249594992,0.00022680765249594992,0_1:0.013073501741834387,0_1:1528.888888888889
1,107.00485245653222,179.34404487088378,5.073814832047969,-0.3420892296028571,0.008799999999999919,0.009399999999999964,0.0082,757.3333333333333,0.00016386497040323325,0.00016386497040323325,0.00016386497040323325,1_2:0.006596735135465159; 1_4:0.022719913227705085; 1_0:0.013073501741834387,1_2:170.66666666666666; 1_4:497.77777777777777; 1_0:1564.4444444444443
2,92.65776073301917,83.38628809034184,5.005765764293225,-0.3434440068875522,0.011700000000000044,0.014800000000000035,0.0086,757.3333333333333,0.00021748667671953934,0.00021748667671953934,0.00021748667671953934,2_3:0.0043472439681453146; 2_1:0.006596735135465159,2_3:224; 2_1:241.77777777777777
3,256.72508407318253,227.25232259924633,4.8972969940592925,-0.34550646060281476,0.009400000000000075,0.01,0.00880000000000003,757.3333333333333,0.00018166378310133425,0.00018166378310133425,0.00018166378310133425,3_5:0.006610151649232315; 3_2:0.0043472439681453146,3_5:277.3333333333333; 3_2:295.1111111111111
4,221.56375494145428,253.78781091998485,4.920153236128222,-0.345102030787551,0.00990000000000002,0.014000000000000012,0.0058,757.3333333333333,0.00021705433595480407,0.00021705433595480407,0.00021705433595480407,4_7:0.005243041530096609; 4_1:0.022719913227705085,4_7:195.55555555555554; 4_1:462.2222222222222
5,160.61405801753835,85.66702929437115,4.992811372934505,-0.3444618486016946,0.013500000000000068,0.018000000000000016,0.009,757.3333333333333,0.0006312657247651357,0.0006312657247651357,0.0006312657247651357,5_3:0.006610151649232315; 5_8:0.026956507687921627,5_3:206.2222222222222; 5_8:206.2222222222222
6,146.960287252434,154.0519831260463,5.006521209591568,-0.34431876211070706,0.01200000000000001,0.013,0.01100000000000001,757.3333333333333,0.00028663171144993073,0.00028663171144993073,0.00028663171144993073,6_7:0.01947049349872948,6_7:718.2222222222222
7,68.05422868245341,146.16151791842998,4.828430114570929,-0.345633610486889,0.007400000000000073,0.010000000000000009,0.0048,757.3333333333333,0.0003316016590440746,0.0003316016590440746,0.0003316016590440746,7_4:0.005243041530096609; 7_6:0.01947049349872948; 7_10:0.01113695807626025,7_4:266.66666666666663; 7_6:753.7777777777777; 7_10:284.44444444444446
8,135.85989291215964,82.84251293791685,5.203604117979207,-0.34065922032294216,0.010299999999999976,0.0114,0.009199999999999986,757.3333333333333,0.00017632865652197064,0.00017632865652197064,0.00017632865652197064,8_9:0.006403675649456098; 8_11:0.006532846090100852; 8_5:0.026956507687921627,8_9:440.88888888888886; 8_11:369.77777777777777; 8_5:135.11111111111111
9,86.351303354082,227.70359259093945,5.088374332716201,-0.3425158142402681,0.007299999999999973,0.0102,0.0043999999999999595,757.3333333333333,0.00023345089507608303,0.00023345089507608303,0.00023345089507608303,9_8:0.006403675649456098,9_8:476.4444444444444
